oid_a,oid_b,same_group,n_agree,n_markers,full_agreement
3,20,False,7,7,True
3,21,False,7,7,True
3,22,False,7,7,True
3,23,False,7,7,True
3,24,False,7,7,True
3,25,False,7,7,True
3,26,True,7,7,True
3,27,False,7,7,True
3,28,True,7,7,True
3,29,False,7,7,True
3,30,True,7,7,True
3,31,False,7,7,True
3,32,False,7,7,True
3,33,False,7,7,True
3,34,True,7,7,True
3,35,False,7,7,True
3,36,False,7,7,True
3,37,False,7,7,True
3,38,False,7,7,True
3,39,False,7,7,True
4,5,False,7,7,True
4,6,False,7,7,True
4,7,False,7,7,True
4,8,False,7,7,True
4,9,False,7,7,True
4,10,True,7,7,True
4,11,False,7,7,True
4,12,True,7,7,True
4,13,False,7,7,True
4,14,False,7,7,True
4,15,False,7,7,True
4,16,False,7,7,True
4,17,False,7,7,True
4,18,False,7,7,True
4,19,False,7,7,True
4,20,False,7,7,True
4,21,False,7,7,True
4,22,False,7,7,True
4,23,False,7,7,True
4,24,False,7,7,True
4,25,False,7,7,True
4,26,True,7,7,True
4,27,False,7,7,True
4,28,True,7,7,True
4,29,False,7,7,True
4,30,True,7,7,True
4,31,False,7,7,True
4,32,False,7,7,True
4,33,False,7,7,True
4,34,True,7,7,True
4,35,False,7,7,True
4,36,False,7,7,True
4,37,False,7,7,True
4,38,False,7,7,True
4,39,False,7,7,True
5,6,True,7,7,True
5,7,True,7,7,True
5,8,True,7,7,True
5,9,False,7,7,True
5,10,False,7,7,True
5,11,False,7,7,True
5,12,False,7,7,True
5,13,False,7,7,True
5,14,False,7,7,True
5,15,False,7,7,True
5,16,False,7,7,True
5,17,False,7,7,True
5,18,False,7,7,True
5,19,False,7,7,True
5,20,False,7,7,True
5,21,False,7,7,True
5,22,False,7,7,True
5,24,False,7,7,True
5,25,False,7,7,True
5,26,False,7,7,True
5,27,True,7,7,True
5,28,False,7,7,True
5,29,True,7,7,True
5,30,False,7,7,True
5,31,True,7,7,True
5,32,False,7,7,True
5,33,False,7,7,True
5,34,False,7,7,True
5,35,False,7,7,True
5,36,True,7,7,True
5,37,False,7,7,True
5,38,False,7,7,True
5,39,False,7,7,True
6,7,True,7,7,True
6,8,True,7,7,True
6,9,False,7,7,True
6,10,False,7,7,True
6,11,False,7,7,True
6,12,False,7,7,True
6,13,False,7,7,True
6,14,False,7,7,True
6,15,False,7,7,True
6,16,False,7,7,True
6,17,False,7,7,True
6,18,False,7,7,True
6,19,False,7,7,True
6,20,False,7,7,True
6,21,False,7,7,True
6,22,False,7,7,True
6,23,True,7,7,True
6,24,False,7,7,True
6,25,False,7,7,True
6,26,False,7,7,True
6,27,True,7,7,True
6,28,False,7,7,True
6,30,False,7,7,True
6,31,True,7,7,True
6,32,False,7,7,True
6,33,False,7,7,True
6,34,False,7,7,True
6,35,False,7,7,True
6,36,True,7,7,True
6,37,False,7,7,True
6,38,False,7,7,True
6,39,False,7,7,True
7,8,True,7,7,True
7,9,False,7,7,True
7,10,False,7,7,True
7,11,False,7,7,True
7,12,False,7,7,True
7,13,False,7,7,True
7,14,False,7,7,True
7,15,False,7,7,True
7,16,False,7,7,True
7,17,False,7,7,True
7,18,False,7,7,True
7,19,False,7,7,True
7,20,False,7,7,True
7,21,False,7,7,True
7,22,False,7,7,True
7,23,True,7,7,True
7,24,False,7,7,True
7,25,False,7,7,True
7,26,False,7,7,True
7,27,True,7,7,True
7,28,False,7,7,True
7,29,True,7,7,True
7,30,False,7,7,True
7,31,True,7,7,True
7,32,False,7,7,True
